Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL
componentidigitali.com,Italy,iPhone XR,aftermarket-incell,11.6,EUR,9.51,stripped 22% VAT,no,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xr/display-lcd-per-iphone-xr-incell-zy-a-si-hd-.1.39.627.gp.29926.uw
componentidigitali.com,Italy,iPhone XR,aftermarket-incell,13.2,EUR,10.82,stripped 22% VAT,no,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xr/display-lcd-per-iphone-xr-incell-zy-ffhd-.1.39.627.gp.41122.uw
componentidigitali.com,Italy,iPhone XR,aftermarket-incell,16.35,EUR,13.4,stripped 22% VAT,no,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xr/display-lcd-per-iphone-xr-incell-zy-ltps-cog-.1.39.627.gp.26041.uw
componentidigitali.com,Italy,iPhone XS,aftermarket-incell,11.05,EUR,9.06,stripped 22% VAT,no,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xs/display-lcd-per-iphone-xs-incell-zy-a-si-hd-.1.39.625.gp.33030.uw
componentidigitali.com,Italy,iPhone XS,aftermarket-incell,12.75,EUR,10.45,stripped 22% VAT,no,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xs/display-lcd-per-iphone-xs-incell-zy-ffhd-.1.39.625.gp.41120.uw
componentidigitali.com,Italy,iPhone XS,aftermarket-incell,11.05,EUR,9.06,stripped 22% VAT,no,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xs/display-lcd-per-iphone-xs-incell-zy-a-si-hd-.1.39.625.gp.33030.uw
componentidigitali.com,Italy,iPhone XS,aftermarket-incell,12.75,EUR,10.45,stripped 22% VAT,no,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xs/display-lcd-per-iphone-xs-incell-zy-ffhd-.1.39.625.gp.41120.uw
compuparts.ie,Ireland,iPhone 11,aftermarket-incell,23.95,EUR,23.95,already ex-VAT,no,https://compuparts.ie/product/iphone-11-lcd-display-screen-touch-digitizer-oem-black/
compuparts.ie,Ireland,iPhone 12,aftermarket-lcd,39.95,EUR,39.95,already ex-VAT,no,https://compuparts.ie/product/iphone-12-lcd-display-screen-touch-digitizer/
compuparts.ie,Ireland,iPhone 12 Pro,aftermarket-lcd,39.95,EUR,39.95,already ex-VAT,no,https://compuparts.ie/product/iphone-12-pro-lcd-display-screen-touch-digitizer/
compuparts.ie,Ireland,iPhone 13,aftermarket-hard-oled,69.95,EUR,69.95,already ex-VAT,no,https://compuparts.ie/product/iphone-13-lcd-display-screen-touch-digitizer-hard-oled/
compuparts.ie,Ireland,iPhone 13,aftermarket-incell,59.95,EUR,59.95,already ex-VAT,no,https://compuparts.ie/product/iphone-13-lcd-display-screen-touch-digitizer-incell-phd/
compuparts.ie,Ireland,iPhone 14,aftermarket-incell,134.95,EUR,134.95,already ex-VAT,no,https://compuparts.ie/product/iphone-14-lcd-display-screen-touch-digitizer-incell-phd/
compuparts.ie,Ireland,iPhone 14,aftermarket-lcd,94.95,EUR,94.95,already ex-VAT,no,https://compuparts.ie/product/iphone-14-lcd-display-screen-touch-digitizer/
compuparts.ie,Ireland,iPhone 14 Plus,aftermarket-lcd,114.95,EUR,114.95,already ex-VAT,no,https://compuparts.ie/product/iphone-14-plus-lcd-display-screen-touch-digitizer/
da-pieces.com,France,iPhone 11,aftermarket-incell,14.99,EUR,14.99,VAT basis UNKNOWN — shown as listed,no,https://da-pieces.com/products/ecran-iphone-11-incell-st?_pos=2&_sid=c78f624bf&_ss=r
da-pieces.com,France,iPhone 11,aftermarket-incell,15.9,EUR,15.9,VAT basis UNKNOWN — shown as listed,no,https://da-pieces.com/products/ecran-iphone-11-incell-jk?_pos=5&_sid=c78f624bf&_ss=r
da-pieces.com,France,iPhone 11 Pro,aftermarket-incell,15.49,EUR,15.49,VAT basis UNKNOWN — shown as listed,no,https://da-pieces.com/products/ecran-iphone-11-pro-incell-st-1?_pos=8&_sid=c78f624bf&_ss=r
da-pieces.com,France,iPhone 11 Pro Max,aftermarket-hard-oled,67.95,EUR,67.95,VAT basis UNKNOWN — shown as listed,no,https://da-pieces.com/products/ecran-iphone-11-pro-max-gx-hard-oled?_pos=4&_sid=c78f624bf&_ss=r
da-pieces.com,France,iPhone XS,aftermarket-oled,29.9,EUR,29.9,VAT basis UNKNOWN — shown as listed,no,https://da-pieces.com/products/ecran-iphone-xs-oled?_pos=3&_sid=c78f624bf&_ss=r
da-pieces.com,France,iPhone XS Max,aftermarket-oled,27.19,EUR,27.19,VAT basis UNKNOWN — shown as listed,no,https://da-pieces.com/products/ecran-iphone-xs-max-oled?_pos=1&_sid=c78f624bf&_ss=r
