Site,Country,Model,RepairType,Price,Currency,ExclVAT,Login,URL
screenshelf.ie,Ireland,iPhone X,refurb,49.99,EUR,40.64,no,https://screenshelf.ie/products/iphone-x-lcd-screen-replacement-refurbished?_pos=8&_sid=69f8f0b7a&_ss=r
servisnidily.cz,Czechia,iPhone 13,pulled,2066,CZK,1707.44,YES,https://www.servisnidily.cz/Servisni-dily/iPhone-13-LCD-displej-dotykove-sklo-originalni-PULL-diagnostic
signalocentras.lt,Lithuania,iPhone 11,refurb,95,EUR,78.51,no,http://signalocentras.lt/telefonija/telefonu-ekranai-lcd/iphone-ipad/lcdtouch-screen-iphone-11-o-25352
signalocentras.lt,Lithuania,iPhone 12 / 12 Pro,original,160,EUR,132.23,no,http://signalocentras.lt/telefonija/telefonu-ekranai-lcd/iphone-ipad/lcdtouch-screen-iphone-12-juodas-black-service-pack-oem100596-25407
signalocentras.lt,Lithuania,iphone 11,refurb,76.0,EUR,62.81,no,https://signalocentras.lt/telefonija/telefonu-ekranai-lcd/iphone-ipad
signalocentras.lt,Lithuania,iphone 12,original,128.0,EUR,105.79,no,https://signalocentras.lt/telefonija/telefonu-ekranai-lcd/iphone-ipad
telesfera.lt,Lithuania,iPhone 12 Pro Max,original,144,EUR,119.01,no,https://telesfera.lt/telefonu-ekranai-lcd/ekranas-iphone-12-pro-max-originalus/
telesfera.lt,Lithuania,iPhone 13,original,94,EUR,77.69,no,https://telesfera.lt/telefonu-ekranai-lcd/iphone/ekranas-iphone-13-originalus/
telesfera.lt,Lithuania,iPhone 13 mini,original,134,EUR,110.74,no,https://telesfera.lt/telefonu-ekranai-lcd/iphone/ekranas-iphone-13-mini-originalus/
telesfera.lt,Lithuania,iPhone 14,original,135,EUR,111.57,no,https://telesfera.lt/telefonu-ekranai-lcd/iphone/ekranas-iphone-14-originalus/
telesfera.lt,Lithuania,iPhone 14 Plus,original,165,EUR,136.36,no,https://telesfera.lt/telefonu-ekranai-lcd/iphone/ekranas-iphone-14-plus-originalus/
thescreensurgery.com,UK,iphone 11,original,14.95,GBP,12.46,no,https://thescreensurgery.com/collections/value-screens
thescreensurgery.com,UK,iphone 11 pro,original,20.95,GBP,17.46,no,https://thescreensurgery.com/collections/value-screens
